occurence_timestamp,text_content,cleaned_text,sentiment,time_bin_30s
0,Suport Indo ,suport indo,positive,0
0,ONIC MANA BISA ,onic mana bisa,negative,0
0,AE plss ,ae tolong,neutral,0
0,hina AE biar menang terus ,hina ae biar menang terus,negative,0
0,bab1 ,bab1,neutral,0
0,JANGAN KALAH DRAF BROO ,jangan kalah draf broo,positive,0
0,"JANGAN PUJI AE GUYS, PASIF NYA NYALA ",jangan puji ae guys pasif nya nyala,negative,0
1,Yok AE ukir sejarah ,ayo ae ukir sejarah,positive,0
1,BISMILLAH AE MENANG ,semoga ae menang,positive,0
1,ae kasih tau siapa yang sampah ,ae kasih tau siapa yang buruk,negative,0
1,bismillah AE yokkk  ,semoga ae yokkk,positive,0
1,Gogo ae ,ayo ae,neutral,0
1,NGEHUJAT TEROS KALIAN BANTU SUPORT KE ALTER EGO DONG ,ngehujat teros kalian bantu suport ke alter ego dong,negative,0
1,BISMILLAH AE LETS GO ,semoga ae lets go,neutral,0
1,AE pulang ,ae pulang,negative,0
1,ASSALAMUALAIKUM WARAHMATULLAHI WABARAKATUH SAATNYA MENGUMANDANGKAN #IZIN CUMA EVOS  ,assalamualaikum warahmatullahi wabarakatuh saatnya mengumandangkan izin cuma evos,neutral,0
1,pulang kah ini? ,pulang kah ini,negative,0
1,ppa awtis ,ppa awtis,negative,0
1,LETS GOO ,lets goo,neutral,0
2,Onic fans = Karbit ,onic fans karbit,negative,0
2,aeee pokeeeee ,aeee pokeeeee,positive,0
2,gooo TLPH ,gooo tlph,neutral,0
2,#CUMA EVOS. AE BOT ,cuma evos ae buruk,negative,0
2,onicsampah #kataoheb ,onicsampah kataoheb,neutral,0
2,OHEB 4NJ ,oheb 4nj,neutral,0
2,gass boyy ,ayo boyy,positive,0
2,AEE AEEE PULANG AJ ,aee aeee pulang saja,negative,0
3,AE bot kroco ayamm ,ae buruk lemah ayamm,negative,0
3,Aeeeeee ,aeeeeee,positive,0
3,AE AEEE ,ae aeee,negative,0
3,onic sampah ,onic buruk,negative,0
3,ban freya arfy TL ,ban freya arfy tl,neutral,0
3,fanny pliss hahahah ,fanny pliss hahahah,positive,0
3,kalo ae menang yg bilang ae cupu malu tuh ,kalau ae menang yang bilang ae payah malu itu,negative,0
3,udah kalah ini ,sudah kalah ini,negative,0
3,"NT DAH AE, BYEE ",nice try dah ae byee,positive,0
3,bismillah ,semoga,positive,0
3,panas panas panas ,panas panas panas,negative,0
4,ALTER EGO GO GOO GOOO GOOOOO ,alter ego go goo gooo gooooo,negative,0
4,"AYO AE BAWA PIALA NYA KE INDONESIA,,YAKIN KALO AE JUARA KALI INI  SEMUANYA SERENTAK BUAT DUKUNG AE...LETSGO AEE GO GO GO ..AE MASA PRIMEE BAWA PIALANYA ",ayo ae bawa piala nya ke indonesiayakin kalau ae juara kali ini semuanya serentak untuk dukung aeletsgo aee go go go ae masa primee bawa pialanya,positive,0
4,"2,2 skor ny yaaa ",22 skor ny yaaa,positive,0
4,BADUT BADUT AE A NYA AYAMMM ,lucu lucu ae a nya ayammm,positive,0
4,bismillah ,semoga,positive,0
5,jgn make guinever jungler. ,jangan make guinever jungler,negative,0
5,ayo ae ,ayo ae,neutral,0
5,AElahoki ,aelahoki,negative,0
5,AE poke ,ae poke,negative,0
5,RRQ KO GA ADA ,rrq ko tidak ada,negative,0
5,Nafari ,nafari,neutral,0
5,jangan puji AE nanti pasifnya aktif ,jangan puji ae nanti pasifnya aktif,negative,0
5,lets go Liquid ,lets go liquid,neutral,0
5,bismillah ae ,semoga ae,positive,0
5,AE gogogogo ,ae gogogogo,negative,0
